#	time	Reference	Challenge	m1	m2	count	scoreblob	scorecolor	sc1(alignment)
22	20.02	Image_1079.jpg	colorTag_29.jpg	112	2414	0	0.0	0.0002270833333333222
23	28.09	Image_1079.jpg	colorTag_3.jpg	112	2284	0	0.0	0.00023211805555556353
24	29.22	Image_1079.jpg	colorTag_30.jpg	112	965	1	0.0	0.00020434027777782582
25	16.06	Image_1079.jpg	colorTag_31.jpg	112	1932	0	0.0	0.00020156250000002984
26	20.26	Image_1079.jpg	colorTag_32.jpg	112	1372	3	0.0013477088948787063	0.00020555555555556992
27	17.08	Image_1079.jpg	colorTag_33.jpg	112	1010	1	0.0017825311942959	0.0005425347222222099
28	16.73	Image_1079.jpg	colorTag_34.jpg	112	0	0	0.0	0.00018211805555556904
29	14.14	Image_1079.jpg	colorTag_35.jpg	112	269	0	0.0	0.00022065972222218289
30	14.18	Image_1079.jpg	colorTag_36.jpg	112	538	0	0.0	0.00015538194444442155
31	14.49	Image_1079.jpg	colorTag_37.jpg	112	1734	0	0.0	0.00017812500000002895
32	24.83	Image_1079.jpg	colorTag_38.jpg	112	717	0	0.0	0.00017760416666667833
33	14.92	Image_1079.jpg	colorTag_39.jpg	112	794	0	0.0	0.0005010416666666462
34	15.02	Image_1079.jpg	colorTag_4.jpg	112	1545	0	0.0	0.00017430555555553173
35	19.57	Image_1079.jpg	colorTag_40.jpg	112	254	0	0.0	0.00019895833333338775
36	14.18	Image_1079.jpg	colorTag_41.jpg	112	1657	1	0.0011305822498586771	0.00028125000000001066
37	19.05	Image_1079.jpg	colorTag_42.jpg	112	1760	1	0.0	0.00015937499999996163
38	20.59	Image_1079.jpg	colorTag_43.jpg	112	755	2	0.0	0.00022465277777772297
39	14.95	Image_1079.jpg	colorTag_44.jpg	112	656	0	0.0	0.00023836805555554896
40	14.80	Image_1079.jpg	colorTag_45.jpg	112	68	0	0.0	9.791666666669752e-05
41	14.25	Image_1079.jpg	colorTag_46.jpg	112	3119	2	0.0012380068090374497	0.00023541666666671013
42	29.03	Image_1079.jpg	colorTag_47.jpg	112	630	0	0.0	0.00020607638888892055
43	14.74	Image_1079.jpg	colorTag_48.jpg	112	1338	0	0.0	0.00022274305555558538
44	22.79	Image_1079.jpg	colorTag_49.jpg	112	1200	0	0.0	0.00015538194444442155
45	16.33	Image_1079.jpg	colorTag_5.jpg	112	66	0	0.0	0.00015989583333331225
46	14.36	Image_1079.jpg	colorTag_50.jpg	112	1509	0	0.0	0.00024045138888884043
47	19.11	Image_1079.jpg	colorTag_51.jpg	112	831	0	0.0	0.00024288194444443967
48	16.61	Image_1079.jpg	colorTag_52.jpg	112	408	1	0.0038461538461538464	0.0002522569444444178
49	14.59	Image_1079.jpg	colorTag_53.jpg	112	699	0	0.0	0.0001953125000000444
50	15.11	Image_1079.jpg	colorTag_54.jpg	112	298	0	0.0	0.000482118055555536
51	14.46	Image_1079.jpg	colorTag_55.jpg	112	740	0	0.0	0.0005100694444444276
52	15.02	Image_1079.jpg	colorTag_56.jpg	112	937	0	0.0	0.0005359375000000277
53	15.40	Image_1079.jpg	colorTag_57.jpg	112	644	0	0.0	0.00022864583333337407
54	15.05	Image_1079.jpg	colorTag_58.jpg	112	464	0	0.0	0.00022795138888886957
55	15.04	Image_1079.jpg	colorTag_59.jpg	112	465	0	0.0	0.0004671874999999659
56	14.98	Image_1079.jpg	colorTag_6.jpg	112	1765	0	0.0	0.0005354166666666771
57	19.40	Image_1079.jpg	colorTag_60.jpg	112	1819	1	0.0	0.0002322916666667174
58	20.86	Image_1079.jpg	colorTag_61.jpg	112	428	0	0.0	0.0005227430555555523
59	14.76	Image_1079.jpg	colorTag_62.jpg	112	536	0	0.0	0.0005126736111110697
60	14.79	Image_1079.jpg	colorTag_63.jpg	112	454	0	0.0	0.00016059027777781676
61	14.82	Image_1079.jpg	colorTag_64.jpg	112	1017	1	0.0	0.000516319444444413
62	16.23	Image_1079.jpg	colorTag_65.jpg	112	475	0	0.0	0.00017239583333328312
63	14.67	Image_1079.jpg	colorTag_66.jpg	112	1515	0	0.0	0.00021579861111109544
